district,m_pct_any_dv_4,f_pct_any_beat_4,gap_any_dv_4,avg_any_dv_4,m_mean_dv_count_4,f_mean_beat_count_4,gap_dv_count_4,m_pct_beat_goout_4,m_pct_beat_neglect_4,m_pct_beat_argue_4,m_pct_beat_refusesex_4,m_pct_beat_burnfood_4,m_pct_dv_unfaithful_4,m_pct_dv_disrespect_4,m_pct_father_beat_mother_4,m_pct_force_sex_right_4,m_pct_any_dv_4,m_mean_dv_count_4,f_pct_beat_goout_4,f_pct_beat_neglect_4,f_pct_beat_argue_4,f_pct_beat_refusesex_4,f_pct_beat_burnfood_4,f_pct_any_beat_4,f_mean_beat_count_4,f_n_dv_4,gap_father_beat_mother_4,female_pct_breastfeeding_4
mansa,68.676331,28.25065,40.425682,48.46349,1.8331195,0.68225896,1.1508605,16.556292,16.666668,16,11.486486,12.837837,14.965985,24.666668,11.486486,63.698631,69.281044,1.8235294,11.486486,20.945946,17.567568,9.4594593,14.09396,29.530201,0.7315436,41.7228635,-9.2000561,13.121212
patiala,88.996353,40.722309,48.274044,64.859329,1.0925831,1.1168565,-0.024273396,4.2857146,3.5714288,2.8571429,1.4285715,3.5460994,4.9295774,7.746479,2.9411764,82.733818,88.028168,1.1197183,22.5,24.375,25,15.000001,28.125,43.125,1.15,119.7905027,-11.494825,12.010386
amritsar,80.150032,10.247677,69.902359,45.198853,1.8974484,0.18285768,1.7145908,22.08589,18.902439,20.60606,6.2111802,7.9268293,24.848484,26.060604,6.7073174,61.111111,80.35714,1.8928572,4.3209877,3.7037036,4.9382715,0.62111801,1.2345679,8.6419754,0.14814815,141.1683705,-0.2977457,11.022643
tarn taran,78.147285,20.872503,57.27478,49.509895,1.2405984,0.30000305,0.94059539,6.8702288,3.7593982,6.0150375,5.3435111,2.238806,6.1068702,13.533835,4.8780484,74.418602,75.555557,1.1851852,15.028901,8.6705198,12.716763,2.8901734,4.0462427,22.543352,0.43352601,70.22896048,-18.335556,9.5653553
rupnagar,82.674324,14.659457,68.01487,48.666889,1.0890386,0.35093358,0.73810506,2.7777779,0,0.93457943,0.93457943,1.8518518,3.7735848,7.4766355,5.0505052,81.904762,83.486244,1.0091743,7.0866146,6.2992125,10.23622,6.3492069,5.5555558,13.385826,0.35433072,35.30998191,5.0515366,11.99547
sahibzada ajit singh nagar,80.908485,8.6028786,72.305603,44.755684,1.3675003,0.25895575,1.1085446,12.264152,7.5471697,9.6153851,3.8095241,2.8571429,6.666667,14.285715,3.7735848,80,82.242989,1.3831775,8.527132,9.3023252,10.077519,6.2015505,7.7519379,11.627908,0.41860464,57.2382502,-0.37741041,12.818682
sangrur,71.606918,43.860039,27.74688,57.733479,1.9395069,1.071395,0.86811185,16.666668,18.367348,21.088434,11.805555,11.564626,21.917809,27.210886,15.540541,55.319149,70.666664,1.9266666,26,34.666668,24.324326,10.067114,13.333334,42,1.08,92.79100832,-2.1947823,12.853251
barnala,87.195412,39.032822,48.16259,63.114117,2.2133667,0.96755165,1.245815,22.435898,14.838709,20.512821,12.5,5.1612902,29.677418,40.764332,19.736843,65.584412,86.075951,2.2658229,23.529411,24.264706,25,9.5588236,15.441176,40.441177,0.97794116,32.66619597,-0.10106468,11.716812
chandigarh,66.319977,10.988024,55.331955,38.653999,0.82842398,0.20743951,0.62098444,0.98039222,4.9019608,1.9607844,0.99009901,0,1.9607844,4.9019608,3.846154,63.366337,65.384613,0.80769229,6.4000001,7.9365082,7.9365082,0.79365087,6.3492069,15.873016,0.29365081,62.34976545,-6.3650022,11.002216
uttarkashi,21.840916,17.986818,3.8540974,19.913868,0.33251297,0.4760856,-0.14357263,4.2944784,1.8518518,1.9607844,3.2679741,3.2258062,4.6979866,3.8709679,7.5000005,6.666667,23.636364,0.35151514,7.5471697,10.625,10.625,5.7324843,6.875,15.625,0.41249999,19.57935513,0.39745283,14.684558
