State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,State,District
9,56,15,5,1,9,4,0,5,5,5,0,Uttar Pradesh,mahrajganj
9,57,27,8,1,18,16,0,2,6,8,2,Uttar Pradesh,gorakhpur
9,58,24,2,0,22,18,0,4,2,2,0,Uttar Pradesh,kushinagar
9,59,9,1,2,6,6,0,0,1,1,0,Uttar Pradesh,deoria
9,60,55,9,2,44,28,0,16,5,9,4,Uttar Pradesh,azamgarh
9,61,20,2,3,15,8,0,7,2,2,0,Uttar Pradesh,mau
9,62,52,5,1,46,35,0,11,3,5,2,Uttar Pradesh,ballia
9,63,56,4,1,51,33,0,18,2,4,2,Uttar Pradesh,jaunpur
9,64,71,14,0,57,18,2,37,11,14,3,Uttar Pradesh,ghazipur
9,65,23,12,0,11,1,0,10,1,12,11,Uttar Pradesh,chandauli
9,66,41,9,6,26,11,0,15,7,9,2,Uttar Pradesh,varanasi
9,67,2,0,0,2,2,0,0,0,0,0,Uttar Pradesh,sant ravidas nagar (bhadohi)
9,68,21,6,0,15,4,0,11,1,6,5,Uttar Pradesh,mirzapur
9,69,26,5,0,21,2,0,19,2,5,3,Uttar Pradesh,sonbhadra
9,70,13,1,0,12,4,0,8,1,1,0,Uttar Pradesh,etah
9,71,19,6,0,13,4,0,9,1,6,5,Uttar Pradesh,kanshiram nagar
10,1,7,2,0,5,3,0,2,2,2,0,Bihar,pashchim champaran
10,2,7,3,1,3,3,0,0,1,3,2,Bihar,purba champaran
10,4,4,3,0,1,0,0,1,1,3,2,Bihar,sitamarhi
10,5,4,3,0,1,1,0,0,1,3,2,Bihar,madhubani
10,6,33,15,1,17,4,0,13,2,15,13,Bihar,supaul
10,7,24,7,0,17,3,0,14,4,7,3,Bihar,araria
10,8,15,7,0,8,4,0,4,4,7,3,Bihar,kishanganj
10,9,33,18,0,15,8,0,7,8,18,10,Bihar,purnia
10,10,41,26,0,15,4,0,11,12,26,14,Bihar,katihar
10,11,22,8,1,13,7,0,6,4,8,4,Bihar,madhepura
