district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
kokrajhar,4.216867447,assam,37.187157,30.632643,1.5066612,6.8622117,79.814972,24.253296,33.551937,10.962657,31.232113,-470935.4378,2.0982633,5.9338784,94.066116,4.9267979,75.176384,5.1949339,55.408722,15.09123,543.5657043
lakhimpur,4.910714149,assam,31.358006,30.803137,1.724214,8.2253609,87.511597,20.191368,24.816851,9.1841478,45.675438,-459461.6986,2.0828173,9.3776236,90.622375,4.7372322,75.371811,3.2945454,61.543346,13.688569,544.6448421
majuli,,assam,28.714401,30.68869,1.7268543,8.2517872,86.181839,14.827439,44.140156,14.824661,26.207745,-707160.6364,1.7998521,0,100,5.177371,74.418411,2.9921391,58.536972,17.218695,92.07653488
morigaon,13.19444466,assam,31.595535,30.104465,1.5657142,7.0066724,83.913712,36.015579,20.285746,18.995909,24.702766,-574066.9014,1.9533991,9.1523056,90.847694,5.0305681,78.023499,4.8986287,52.747124,13.945987,573.6540267
nagaon,18.49217796,assam,39.246132,29.822311,1.5840719,6.9954834,84.374496,23.130116,13.789819,30.932108,31.781841,-528180.4712,2.0055087,13.036555,86.963448,5.1651053,73.478096,4.9225044,57.266434,20.185522,1679.521427
nalbari,12.79069805,assam,29.726498,30.705885,1.7699155,8.3412209,88.143913,18.909925,9.9967651,46.740284,23.694796,-369692.7174,2.2200241,14.085735,85.914268,4.8998909,75.391228,3.9258738,54.227047,16.255972,467.779598
sivasagar,22.87234116,assam,20.512566,31.584747,1.8206931,8.8178501,89.677559,7.2735972,8.301733,14.46553,69.959137,-172556.4631,2.5264344,11.189834,88.810165,4.742444,74.683449,5.8464012,61.913055,23.35919,416.1905046
sonitpur,11.05527687,assam,20.111748,30.736677,1.520425,6.8328643,79.616051,23.3888,10.518787,11.148148,54.813065,-416898.0285,2.1797729,13.710213,86.289787,4.8183956,71.303085,3.5081379,66.481026,13.275853,815.4700998
south salmara mancachar,,assam,36.484573,29.598732,1.2902697,5.7023859,68.028664,18.368309,1.2340848,76.140617,4.256989,-764464.3682,1.6546696,4.950007,95.049995,5.3482175,77.796837,4.273572,51.304626,17.173252,356.5332062
tinsukia,37.41721725,assam,26.129086,30.255016,1.4378461,6.5190177,75.911537,6.1808443,11.463718,18.986126,62.775303,-329088.2928,2.3139329,20.992105,79.007896,4.9490008,68.41832,4.5304308,53.249729,22.10885,789.3269171
