district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents,total_respondents,mean_age,urban_share,pct_sc,pct_st,pct_obc,pct_general,mean_hh_size,mean_wealth_idx,dd_mobile_own_5,dd_mobile_own_4,dd_gap,treatment_status,f_mean_bf_dur_c1
dibrugarh,32.11920547,assam,29.38839,30.79421,1.5832121,7.3752451,80.390152,3.6854084,10.045192,12.21711,73.538437,-230597.3447,2.4550481,19.652313,80.347687,4.9111505,69.191704,5.8415518,57.738091,22.873238,890.8852487,34.349438,7.8125286,87.625984,16.535227,19.497957,2.1508965,66.866638,10.646158,-211327.73,4.9280515,63.330238,87.12648,0.0,82.368164,193.037536,1083.9227847,31.427366219912987,19.0971861870632,6.501490378080269,8.639284334540545,72.35024568432088,11.937336654947378,4.914160426022396,-37633.674369919485,29.38839,45.296543,-15.908153,treated,78.643867
dima hasao,21.4285717,assam,18.95771,31.127758,1.8285087,8.574028,91.512512,1.4452043,85.03479,3.49037,10.029637,-353853.4829,2.2832048,33.772949,66.227051,4.8079104,67.296188,2.9312336,65.819077,16.811316,122.8223115,33.990025,8.8466635,85.46299,31.57737,0.83768952,83.912628,12.736615,2.5130684,-422951.75,4.5302744,65.619568,84.776787,0.0,67.940369,26.20937069,149.03168219,31.6311289323707,33.38682476759137,1.338364064187764,84.83744162816363,10.505698122099012,3.3184974187211123,4.7590841052554245,-74380.28349643662,18.95771,30.100552,-11.142842,treated,82.72084
dimapur,23.79746819,nagaland,10.052643,30.533949,1.9820853,9.5061283,91.24427,13.195972,80.466492,1.0460182,5.1553588,541846.1129,3.5675845,54.227257,45.772739,4.4164104,55.054642,4.2372899,87.916229,62.687141,192.4096884,32.518353,9.9548159,91.908676,59.079044,17.024986,78.652229,4.3227816,0.0,496048.06,4.4994712,50.383282,97.968872,0.0,64.546074,40.95515734,233.36484574,30.88220872947388,55.07873786180278,13.867957835440608,80.14809174401661,5.0092428324661125,0.8624436782006328,4.430987437608211,87058.58296222979,10.052643,22.059708,-12.007065,treated,41.183601
dindigul,28.79177284,tamil nadu,19.310036,32.06982,1.8339715,8.9208651,87.36985,37.104382,0.83634257,0.1469873,61.912292,244662.1517,3.139241,36.400566,63.599438,4.5230713,76.351013,6.6910639,71.398148,56.897545,1514.801538,35.553387,9.7915173,86.867104,37.292889,28.029425,0.0,71.238174,0.73240602,367572.44,4.6708498,78.59771,90.708183,0.0,87.694817,101.7573595,1616.5588975,32.289099718239484,36.45673496015452,36.5331416552627,0.783697403967227,62.4993272937936,0.1838375893653893,4.532373497386143,23140.48458383938,19.310036,34.496742,-15.186706,treated,48.690922
dindori,56.8807373,madhya pradesh,53.837219,30.191755,1.3877422,6.3751121,72.563255,7.2396784,68.425827,3.0784059,20.131489,-1014527.584,1.5462484,3.1782274,96.82177,5.2190857,71.65274,4.5120983,27.696123,13.60497,477.780297,33.020058,8.1669397,79.621193,6.1968813,8.2470703,63.918476,23.241213,4.5932388,-831459.19,5.6742759,70.77034,81.53334,0.0,83.025047,32.86667895,510.64697595,30.373792554420813,3.372516474967869,7.304516982648088,68.13572118285234,20.3316396033419,3.1759048159478978,5.248383024510253,-53513.61072862389,53.837219,65.359848,-11.522629,treated,84.585556
diu,,dadra & nagar haveli and daman & diu,20.010826,31.058764,1.8779134,9.1215534,91.280853,12.070934,1.4555438,7.4956803,78.832916,964661.0049,4.2245483,63.179951,36.820049,5.4537239,56.493889,8.857708,72.619232,53.018684,19.3605389,32.769989,9.8695059,94.453026,71.693634,5.550365,4.1800065,86.901558,3.3680699,1000435.0,5.1231451,51.294785,92.630058,0.0,67.735222,3.297759943,22.658298843,31.30782105841212,64.41905915014578,11.121909918237977,1.852070654046385,80.00725148592409,6.894934924905989,5.405610423688349,145610.06018005506,20.010826,30.488556,-10.47773,treated,53.487484
doda,8.661417961,jammu & kashmir,35.785858,29.96545,1.5083743,7.5553079,70.820915,6.3613439,5.821331,86.093651,1.7236743,-13218.88367,2.7368493,7.6109896,92.389008,5.2137756,67.146896,1.9711511,64.214142,27.986877,221.3144826,29.411722,9.9997301,86.521988,8.0323229,4.9673076,3.6136377,3.2862458,88.132813,-134903.84,5.1184721,53.98925,100.0,0.0,65.26577,50.18411684,271.49859944,29.86309827256237,7.688869337130856,6.1036686092150765,5.413258403151964,2.012501833138652,86.47057207537482,5.196159590233739,-24933.55169529666,35.785858,54.889511,-19.103653,treated,74.294693
dohad,31.875,gujarat,55.426876,29.967083,1.1409231,5.252408,58.059872,1.6434941,63.258934,3.1836782,31.685465,-687005.8119,1.8627017,11.206272,88.793724,6.7590113,72.485901,3.6620834,24.574749,38.680031,1210.035688,32.390564,6.6059155,73.73735,14.58882,3.889811,61.965614,32.84763,1.2969474,-491615.84,6.2871003,70.690674,80.001625,0.0,83.708755,235.7975502,1445.8332382,30.362322829641545,11.757923816240496,2.0098406522844683,63.04800947594887,31.874999762853665,2.875975701003124,6.682048442339482,-80174.91486106443,55.426876,43.221893,12.204983,not_treated,63.440567
dumka,9.293680191,jharkhand,29.720909,30.058365,1.157668,5.1192174,63.089996,9.672039,42.718521,5.2893596,36.492096,-951269.837,1.6223938,4.8738651,95.126137,5.1320682,79.012924,4.269938,55.198158,21.964029,722.5500074,31.134247,7.3086343,76.529625,7.2680802,12.602811,40.607735,43.185574,3.6038802,-714009.88,4.870894,64.342995,84.919067,0.0,79.009972,45.19207072,767.74207812,30.12169529908877,5.014797245315057,9.844554821736024,42.59427251485722,36.88609828248462,5.190146196940963,5.11669454359505,-42027.67263987737,29.720909,62.420773,-32.699864,treated,77.544144
dungarpur,25.6880722,rajasthan,36.37067,29.761641,1.3755316,6.5396695,71.060364,4.4668169,68.799706,9.669282,16.842569,-258349.9807,2.4156077,5.3101048,94.689896,5.5127602,70.611801,2.529552,51.515675,36.452511,1026.683782,31.570095,9.5692968,90.732765,5.8027716,2.0628328,64.449417,18.300394,15.187356,-147115.34,5.5415621,65.403648,87.886345,0.0,73.055275,76.35301799,1103.03679999,29.88682351503245,5.344207557989414,4.300411353751102,68.49857579810492,16.94348071795201,10.051247137877514,5.514753888686422,-10181.18356203303,36.37067,52.581924,-16.211254,treated,66.1922
