state_id,smdist,prop_internet_access,prop_mobile_access,gender
odisha,jharsuguda,0,.89473683,0
odisha,sambalpur,0,.85714287,0
odisha,debagarh,0,.85964912,0
odisha,sundargarh,0,.89075631,0
odisha,kendujhar,0,.8359375,0
odisha,mayurbhanj,0,.83739835,0
odisha,baleshwar,0,.83999997,0
odisha,bhadrak,0,.8490566,0
odisha,kendrapara,0,.7927928,0
odisha,jagatsinghapur,0,.91262138,0
odisha,cuttack,0,.8923077,0
odisha,jajapur,0,.84285712,0
odisha,dhenkanal,0,.86734694,0
odisha,anugul,0,.88513511,0
odisha,nayagarh,0,.80303031,0
odisha,khordha,0,.91379309,0
odisha,puri,0,.81666666,0
odisha,ganjam,0,.86486489,0
odisha,gajapati,0,.80733943,0
odisha,kandhamal,0,.78289473,0
odisha,baudh,0,.83571428,0
odisha,subarnapur,0,.89583331,0
odisha,balangir,0,.8741259,0
odisha,nuapada,0,.79136693,0
odisha,kalahandi,0,.83850926,0
odisha,rayagada,0,.7185185,0
odisha,nabarangapur,0,.80000001,0
odisha,koraput,0,.73571426,0
odisha,malkangiri,0,.67153287,0
chhattisgarh,koriya,0,.74436092,0
chhattisgarh,jashpur,0,.75735295,0
chhattisgarh,raigarh,0,.87662339,0
chhattisgarh,korba,0,.86127168,0
chhattisgarh,janjgir - champa,0,.82550335,0
chhattisgarh,kabeerdham,0,.8874172,0
chhattisgarh,rajnandgaon,0,.86627907,0
chhattisgarh,mahasamund,0,.89570552,0
chhattisgarh,dhamtari,0,.83443707,0
chhattisgarh,uttar bastar kanker,0,.78205127,0
chhattisgarh,narayanpur,0,.54268295,0
chhattisgarh,bijapur,0,.67469877,0
madhya pradesh,sheopur,0,.78991598,0
madhya pradesh,morena,0,.81751823,0
madhya pradesh,bhind,0,.85714287,0
madhya pradesh,gwalior,0,.87804872,0
madhya pradesh,datia,0,.86206895,0
madhya pradesh,shivpuri,0,.88695651,0
madhya pradesh,tikamgarh,0,.82926828,0
madhya pradesh,chhatarpur,0,.86335403,0
madhya pradesh,panna,0,.81578952,0
madhya pradesh,sagar,0,.89655173,0
madhya pradesh,damoh,0,.85000002,0
madhya pradesh,satna,0,.87341774,0
madhya pradesh,rewa,0,.77108431,0
madhya pradesh,umaria,0,.83139533,0
madhya pradesh,neemuch,0,.95580119,0
madhya pradesh,mandsaur,0,.91907513,0
madhya pradesh,ratlam,0,.88607597,0
madhya pradesh,ujjain,0,.943299,0
madhya pradesh,dewas,0,.92553192,0
madhya pradesh,dhar,0,.85148513,0
madhya pradesh,indore,0,.90425533,0
madhya pradesh,khargone (west nimar),0,.91666669,0
madhya pradesh,barwani,0,.88359785,0
madhya pradesh,rajgarh,0,.8611111,0
madhya pradesh,vidisha,0,.86746991,0
madhya pradesh,bhopal,0,.89473689,0
madhya pradesh,sehore,0,.83333331,0
madhya pradesh,raisen,0,.82692307,0
madhya pradesh,betul,0,.83687943,0
madhya pradesh,harda,0,.877451,0
madhya pradesh,hoshangabad,0,.76543212,0
madhya pradesh,katni,0,.83168316,0
madhya pradesh,jabalpur,0,.94444436,0
madhya pradesh,narsimhapur,0,.84375,0
madhya pradesh,dindori,0,.81595093,0
madhya pradesh,mandla,0,.81699342,0
madhya pradesh,chhindwara,0,.8359375,0
madhya pradesh,seoni,0,.81617641,0
madhya pradesh,balaghat,0,.89781022,0
madhya pradesh,guna,0,.82716048,0
madhya pradesh,ashoknagar,0,.875,0
madhya pradesh,shahdol,0,.73228347,0
madhya pradesh,anuppur,0,.79144382,0
madhya pradesh,sidhi,0,.78676468,0
madhya pradesh,singrauli,0,.87500006,0
madhya pradesh,jhabua,0,.89285713,0
madhya pradesh,alirajpur,0,.82802546,0
madhya pradesh,khandwa (east nimar),0,.70588237,0
madhya pradesh,burhanpur,0,.86294419,0
gujarat,kachchh,0,.93922645,0
gujarat,banas kantha,0,.88321161,0
gujarat,patan,0,.91156459,0
gujarat,mahesana,0,.93518519,0
gujarat,gandhinagar,0,.89147288,0
gujarat,porbandar,0,.95104897,0
gujarat,amreli,0,.94736844,0
gujarat,anand,0,.89726025,0
gujarat,dohad,0,.80740744,0
