state_id,smdist,prop_internet_use_m,prop_mobile_own_m,prop_internet_use_f,prop_mobile_own_f,dd_internet_use,dd_mobile_own
bihar,vaishali,0,.90476191,0,.51977402,0,.38498789
bihar,samastipur,0,.88888896,0,.56578946,0,.32309949
bihar,begusarai,0,.86206895,0,.48167542,0,.38039353
bihar,khagaria,0,.89999998,0,.53439152,0,.36560845
bihar,bhagalpur,0,.90977442,0,.55367231,0,.35610211
bihar,banka,0,.91176462,0,.5766871,0,.33507752
bihar,munger,0,.92792791,0,.54970759,0,.37822032
bihar,lakhisarai,0,.90825689,0,.48404256,0,.42421433
bihar,sheikhpura,0,.90151513,0,.42514971,0,.47636542
bihar,nalanda,0,.87786263,0,.48666668,0,.39119595
bihar,patna,0,.91891891,0,.5804196,0,.33849931
bihar,bhojpur,0,.87162155,0,.44827586,0,.42334569
bihar,buxar,0,.90983605,0,.48235294,0,.42748311
bihar,kaimur (bhabua),0,.86301363,0,.45348838,0,.40952525
bihar,rohtas,0,.875,0,.43093923,0,.44406077
bihar,aurangabad,0,.89814812,0,.44943821,0,.44870991
bihar,gaya,0,.87074828,0,.42708334,0,.44366494
bihar,nawada,0,.92561978,0,.48192769,0,.44369209
bihar,jamui,0,.92929292,0,.5582822,0,.37101072
bihar,jehanabad,0,.85321099,0,.35593221,0,.49727878
bihar,arwal,0,.85858583,0,.37888196,0,.47970387
sikkim,north  district,0,.88990831,0,.81967211,0,.070236206
sikkim,west district,0,.93333334,0,.85802472,0,.075308621
sikkim,south district,0,.94736844,0,.81415927,0,.13320917
sikkim,east district,0,.98412704,0,.87155962,0,.11256742
arunachal pradesh,tawang,0,.94160587,0,.80124223,0,.14036363
arunachal pradesh,west kameng,0,.97604799,0,.82954544,0,.14650255
arunachal pradesh,east kameng,0,.83846152,0,.70921987,0,.12924165
arunachal pradesh,papum pare,0,.96478873,0,.85093164,0,.11385709
arunachal pradesh,upper subansiri,0,.87074828,0,.70547944,0,.16526884
arunachal pradesh,upper siang,0,.93233085,0,.81451613,0,.11781472
arunachal pradesh,changlang,0,.92592591,0,.76530612,0,.1606198
arunachal pradesh,lower subansiri,0,.95209581,0,.83749998,0,.11459583
arunachal pradesh,dibang valley,0,.9402985,0,.88524598,0,.055052519
arunachal pradesh,lower dibang valley,0,.95375729,0,.91208792,0,.041669369
arunachal pradesh,anjaw,0,.90400004,0,.77868855,0,.12531149
nagaland,mon,0,.91056913,0,.76712328,0,.14344585
nagaland,mokokchung,0,1,0,.87999994,0,.12000006
nagaland,zunheboto,0,.9222222,0,.88461536,0,.037606835
nagaland,wokha,0,.98958331,0,.91891885,0,.070664465
nagaland,dimapur,0,.98148149,0,.87898088,0,.10250062
nagaland,phek,0,.88356167,0,.77999997,0,.1035617
nagaland,tuensang,0,.9421488,0,.64615387,0,.29599494
nagaland,longleng,0,.92708337,0,.74647886,0,.18060452
nagaland,kiphire,0,.96842104,0,.7280702,0,.24035084
nagaland,kohima,0,.95454544,0,.83211678,0,.12242866
nagaland,peren,0,.9285714,0,.75,0,.1785714
manipur,senapati,0,.89166665,0,.70491803,0,.18674862
manipur,tamenglong,0,.91525424,0,.61313868,0,.30211556
manipur,churachandpur,0,.94285715,0,.78985512,0,.15300202
manipur,bishnupur,0,.89430892,0,.64197528,0,.25233364
manipur,thoubal,0,.88590604,0,.72151899,0,.16438705
manipur,imphal west,0,.96124029,0,.73722625,0,.22401404
manipur,imphal east,0,.92028987,0,.72727275,0,.19301713
manipur,ukhrul,0,.86315787,0,.66037738,0,.20278049
manipur,chandel,0,.89473683,0,.80000001,0,.094736814
mizoram,mamit,0,.96850395,0,.72611463,0,.24238932
mizoram,kolasib,0,.91240883,0,.84722221,0,.06518662
mizoram,aizawl,0,.92391312,0,.87943256,0,.044480562
mizoram,champhai,0,.9066667,0,.86538464,0,.041282058
mizoram,serchhip,0,.92307693,0,.88372093,0,.039355993
mizoram,lunglei,0,.91428572,0,.75757575,0,.15670997
mizoram,lawngtlai,0,.86330932,0,.62941176,0,.23389757
mizoram,saiha,0,.83636355,0,.74242425,0,.093939304
tripura,dhalai,0,.80172414,0,.40625,0,.39547414
meghalaya,south garo hills,0,.94871795,0,.72727275,0,.2214452
meghalaya,ribhoi,0,.81751823,0,.61931819,0,.19820005
meghalaya,east khasi hills,0,.85714287,0,.68263471,0,.17450815
assam,kokrajhar,0,.92913383,0,.5354839,0,.39364994
assam,goalpara,0,.91240877,0,.47674417,0,.43566459
assam,barpeta,0,.87218046,0,.50609756,0,.36608291
assam,morigaon,0,.85294116,0,.55696201,0,.29597914
assam,lakhimpur,0,.9285714,0,.61240309,0,.31616831
assam,dhemaji,0,.9054054,0,.54545456,0,.35995084
assam,tinsukia,0,.79365081,0,.5212121,0,.2724387
assam,dibrugarh,0,.8740741,0,.57861638,0,.29545772
assam,golaghat,0,.77310926,0,.51999998,0,.25310928
assam,dima hasao,0,.8389262,0,.64516127,0,.19376493
assam,cachar,0,.91199994,0,.57718122,0,.33481872
assam,karimganj,0,.93617016,0,.58125001,0,.35492015
assam,hailakandi,0,.87603307,0,.3974359,0,.47859716
assam,bongaigaon,0,.90977442,0,.62195122,0,.2878232
assam,chirang,0,.90769231,0,.53801167,0,.36968064
assam,kamrup,0,.95081967,0,.57352942,0,.37729025
assam,kamrup metropolitan,0,.95652175,0,.83536583,0,.12115592
