district,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,n_obs_men,women_mobile_own,n_obs_women,digital_gap_ownership
etawah,0.93423843,0.22364461,0.93423843,0.22364461,64.08967772,0.6371749,125.7265995,0.29706353
east district,0.98421466,0.43583614,0.98421466,0.43583614,39.05955534,0.68755013,31.49315022,0.29666454
mahrajganj,0.91800034,0.1800063,0.91800034,0.1800063,72.17857617,0.62135088,253.409641,0.29664946
aurangabad,0.94840151,0.19915996,0.94840151,0.19915996,509.4757322,0.65199375,325.2032305,0.29640776
goalpara,0.91380984,0.22750172,0.91380984,0.22750172,117.0375258,0.61754835,99.00142264,0.29626149
ramban,0.9938764,0.31356692,0.9938764,0.31356692,38.65447113,0.69769388,39.90988247,0.29618251
south goa,0.97555262,0.58920705,0.97555262,0.58920705,102.8836822,0.6814,169.1075173,0.29415262
cuttack,0.89385051,0.26780847,0.89385051,0.26780847,92.19867986,0.60016894,253.5166415,0.29368156
sangrur,0.91601801,0.20393462,0.91601801,0.20393462,77.72542098,0.623447,134.4646971,0.29257101
porbandar,0.95077723,0.21819648,0.95077723,0.21819648,82.00346681,0.65895063,73.35519162,0.29182661
raigarh,0.9629578,0.21016742,0.9629578,0.21016742,424.0354595,0.67457473,228.3109444,0.28838307
narsimhapur,0.8447246,0.21862377,0.8447246,0.21862377,48.90290408,0.5569576,122.1407582,0.28776699
singrauli,0.90088516,0.11522311,0.90088516,0.11522311,38.26038745,0.61334169,130.9490987,0.28754348
kolhapur,0.91171372,0.20852579,0.91171372,0.20852579,554.4322007,0.62546897,381.6171731,0.28624475
bandipore,0.95574999,0.23667756,0.95574999,0.23667756,43.6491933,0.66966885,66.19174044,0.28608114
tumkur,0.9035126,0.65278673,0.9035126,0.65278673,361.5425051,0.61782968,251.4599768,0.28568292
chikkaballapura,0.96016836,0.60668135,0.96016836,0.60668135,157.1574733,0.67514277,127.4234969,0.2850256
imphal west,0.96821791,0.29601073,0.96821791,0.29601073,63.95188022,0.68336648,44.08486482,0.28485143
chennai,0.98867083,0.64292103,0.98867083,0.64292103,174.7008708,0.70522135,559.6150573,0.28344947
ujjain,0.942316,0.27725372,0.942316,0.27725372,97.3884722,0.66064906,176.34451,0.28166693
ernakulam,0.98598814,0.45427743,0.98598814,0.45427743,458.8314745,0.70460325,324.353094,0.28138489
gopalganj,0.9288767,0.14586037,0.9288767,0.14586037,231.5160948,0.64795709,222.7586818,0.28091961
doda,1,0.28451034,1,0.28451034,50.18411684,0.71955156,60.31596376,0.28044844
virudhunagar,0.91270846,0.37296361,0.91270846,0.37296361,66.75638491,0.63567781,254.9863317,0.27703065
kurnool,0.93587732,0.1791361,0.93587732,0.1791361,513.7918658,0.65887582,445.9118962,0.2770015
gonda,0.8733964,0.1462687,0.8733964,0.1462687,97.56641674,0.59651613,244.3153344,0.27688026
deoria,0.94443595,0.31648013,0.94443595,0.31648013,102.4652923,0.66830075,241.2567207,0.27613521
kendujhar,0.83404404,0.26681411,0.83404404,0.26681411,66.69225788,0.55870801,193.6155255,0.27533603
debagarh,0.86703217,0.12449262,0.86703217,0.12449262,10.01943699,0.59189147,26.97054288,0.2751407
kushinagar,0.94291586,0.31721354,0.94291586,0.31721354,106.6033053,0.66940314,313.8651074,0.27351272
haora,0.94636142,0.22619268,0.94636142,0.22619268,630.8775966,0.67365319,447.9668442,0.27270824
y.s.r.,0.92616057,0.44724864,0.92616057,0.44724864,418.19803,0.65559912,309.0838252,0.27056146
darrang,0.89385223,0.5085488,0.89385223,0.5085488,131.9312225,0.6246143,75.88905853,0.26923794
south andaman,0.96279228,0.21427375,0.96279228,0.21427375,28.75642301,0.69513136,27.09136088,0.26766092
ramanathapuram,0.973472,0.37763608,0.973472,0.37763608,56.54219878,0.70599657,166.3265363,0.26747543
bilaspur,1,0.37416574,1,0.37416574,39.809724,0.73267239,57.68817632,0.26732761
nalbari,0.83953542,0.11569355,0.83953542,0.11569355,106.8824829,0.57225782,71.49953821,0.2672776
ratnagiri,0.95017081,0.20453325,0.95017081,0.20453325,200.3580542,0.68414253,141.7373384,0.26602829
pithoragarh,0.91066056,0.30427125,0.91066056,0.30427125,20.78483904,0.64544678,41.19339526,0.26521379
kupwara,0.98374707,0.52913004,0.98374707,0.52913004,78.64985743,0.71957207,97.09492515,0.264175
purba champaran,0.88207382,0.10944562,0.88207382,0.10944562,474.429647,0.61802149,450.7486587,0.26405233
yadgir,0.92690516,0.29287481,0.92690516,0.29287481,176.1074234,0.66349411,102.569384,0.26341105
idukki,0.96396607,0.38737413,0.96396607,0.38737413,152.3437464,0.70297664,108.785657,0.26098943
mandya,0.9578194,0.29154798,0.9578194,0.29154798,233.0770704,0.69756633,160.7005165,0.26025307
basti,0.91255456,0.30322838,0.91255456,0.30322838,71.16535345,0.65236425,191.7918934,0.26019031
unnao,0.89748681,0.22670236,0.89748681,0.22670236,111.5905718,0.63837641,277.8946726,0.25911039
